Country,Latregion,Lat_mean,Long_mean,iso3Code,region,incomeLevel,wbLong,wbLat,population,landAreaSqkm,popDensity,popLargestCity,lifeExpectancy,gdpCapita,airTransport,carrierDepart,giniIndex,healthExpend,countryWB,soc_econ,huma_exem,lockdown,mov_rest,pub_health,soc_dist,CountryFree,WEBNAME,RegionFree,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),confirmedTotal,confirmZeroDays,confirmInfectDays,deathsTotal,deathsZeroDays,deathsInfectDays,recoveredTotal,recoveredZeroDays,recoveredInfectDays,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
China,Upper,32.8283848484849,111.649081818182,CHN,East Asia & Pacific,Upper middle income,116.286,40.0495,1392730000,9388210,148.348833270666,25582138,76.704,9770.84708783314,611439830,4692008,38.5,5.15119321644306,China,14,0,2,30,84,8,China,China,Asia-Pacific,103,20,59.5,60.9,76.3,46,70.4,67.9,67.5,76.8,64.4,71.1,72.4,20,20,3.8,45,25,17.5,32.7016666666667,1395.38,25270.066,6.567,6.9,18109.81,4.4,2.1,139043.492,50.463,77038,0,120,4607,0,120,72347,0,120,1,8,16,14,25,49,2,38,42,46,102,64,65,71,70,83,86,98,106,100,3,250,152,142,102,96,137,110,119,0,205,0,150,69,52,29,44,47,35,42,33,36,31,29,28,27,22,16,22,11,7,13,10,14,13,11,8,4,6,15,0,7,4,6,5,3,5,4,1,7,6,4,4,3,2,0,2,2,1,3,0,2,0,1,0,1290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Turkey,Upper,38.9637,35.2433,TUR,Europe & Central Asia,Upper middle income,32.3606,39.7153,82319724,769630,106.960128893104,14750771,77.437,9370.1763438282,115595495.817,772925.545,41.9,4.21630293130875,Turkey,0,0,2,23,7,6,Turkey,Turkey,Europe,71,36,64.4,57.4,53.7,44.6,76.7,64.1,86.1,67,49.2,66.1,78,70,60,3.5,35,22,24.9,34.5743333333333,82.004,2292.511,2.567,4.9,27956.09,10.9,16.332,12944,29.052,152587,49,71,4222,55,65,113987,63,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,21,7,7,15,16,17,16,23,37,46,63,79,69,76,73,75,76,87,96,98,95,97,98,107,115,125,126,121,127,123,119,117,115,109,106,99,95,92,89,93,84,78,61,64,59,64,57,48,50,47,55,53,58,55,48,41,44,31,28,23
Sweden,Upper,63,16,SWE,Europe & Central Asia,High income,18.0645,59.3327,10175214,407310,24.9814981218237,1582968,82.5121951219512,54651.085366515,,,28.8,11.0187463462353,Sweden,22,0,0,4,32,3,Sweden,Sweden,Europe,22,12,74.9,88.8,79.9,91.4,43.6,25.8,97,85.3,53.8,81.2,86.4,85,80,1.8,57,21.4,44,49.7217754436,10.23,542.037,2.342,2.8,52984.11,6.4,2.035,11148.0905422133,39.01,31523,9,111,3831,49,71,4971,47,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,3,1,5,4,1,4,11,26,15,28,0,5,36,34,59,69,50,15,28,76,114,96,106,77,17,12,20,114,170,130,67,111,29,40,185,172,84,131,40,2,80,81,107,124,67,16,10,90,85,87,99,135,45,5,31,57,147,69,117,28,5,19,45,88
Russia,Upper,60,90,RUS,Europe & Central Asia,Upper middle income,37.6176,55.7558,144478050,16376870,8.82207955488442,12409738,72.6573170731707,11288.8784475021,99327311,885094,37.5,5.34457787871361,Russian Federation,6,0,2,18,13,4,Russia,Russia,Europe,94,43,61,56.8,44.4,41.3,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30,30,3.6,13,20,24.2,34.7356666666667,143.965,4213.403,2.334,0.5,29266.86,4.7,2.878,13332.4,13.953,308705,9,111,2972,57,63,85392,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,4,1,8,7,6,4,9,2,2,11,5,13,18,12,24,18,22,28,34,41,40,48,44,51,57,42,60,66,66,47,73,105,101,96,53,58,76,95,86,88,98,104,88,94,107,96,93,113,119,94,91,115,135
Switzerland,Upper,46.8182,8.2275,CHE,Europe & Central Asia,High income,7.44821,46.948,8513227,39516.0009765625,215.437463043118,1370779,83.5512195121951,82828.797372173,28857994,219782,32.7,12.3463220894337,Switzerland,63,0,1,20,36,35,Switzerland,Switzerland,Europe,5,1,82,87.4,81.5,90.1,70.1,65.3,96.7,74.2,72.4,84.4,86.6,85,90,1.7,11.5,8.5,28.5,34.0066794637333,8.484,548.483,2.531,1.9,64649.06,4.9,0.934,-87212.0935084059,40.508,30658,34,86,1892,43,77,27800,41,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,7,2,1,0,13,1,13,13,21,23,22,2,31,38,40,33,36,59,74,55,48,55,75,49,50,56,74,53,54,34,70,32,36,65,42,46,41,25,36,49,31,40,40,10,11,55,34,17,21,17,8,0,22,11,10,5,13,7,3,12,22,3,2,6,1,2,5,5,1
Ireland,Upper,53.1424,-7.6921,IRL,Europe & Central Asia,High income,-6.26749,53.3441,4867309,68890,70.6533459137756,1201426,82.6073170731707,78582.9480997567,167598633,935961,32.8,7.18438327312469,Ireland,9,1,2,8,12,24,Ireland,Ireland,Europe,6,2,80.9,86.6,64.4,82.8,76.4,78.8,91.4,82.7,75.9,85.3,86.4,90,70,1.8,41,12.5,22.8,26.5713689991,4.898,385.851,6.813,10.5,78784.83,5.7,0.716,-66346.3921906538,65.203,24315,38,82,1571,49,71,21060,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1,2,10,3,14,10,8,17,14,13,22,17,21,16,36,25,28,24,33,14,31,41,38,42,44,41,39,77,43,39,25,220,49,24,15,57,31,42,33,21,17,16,20,36,28,26,17,12,9,21,9,9,12,15,10,4,14,10
Portugal,Upper,39.3999,-8.2245,PRT,Europe & Central Asia,High income,-9.13552,38.7072,10283822,91605.595703125,112.2619412173,2927316,81.7243902439025,23403.2176426469,17367956,182753,33.8,8.96957442164421,Portugal,44,0,2,20,49,36,Portugal,Portugal,Europe,56,29,67,75.4,65.6,68.9,59.6,39.8,74.4,76.5,44.1,83,86.4,70,60,1.8,48,23,34.7,44.8131327112667,10.287,329.241,2.08,1.9,32006.43,6.9,1.168,4894.75442344693,121.435,29660,40,80,1263,55,65,6452,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,2,9,10,10,17,16,24,19,21,20,27,22,37,20,29,16,34,35,29,26,35,34,31,32,32,30,28,30,27,21,27,23,35,34,26,23,25,20,25,16,18,16,20,20,11,15,16,9,12,9,9,19,12,9,6,13,15,13,16,16
Romania,Upper,45.9432,24.9668,ROU,Europe & Central Asia,Upper middle income,26.0979,44.4479,19466145,230080,84.6059848748261,1821380,75.409756097561,12306.1097482049,4908235,55637,36,5.15788830816746,Romania,6,0,2,6,9,3,Romania,Romania,Europe,38,21,69.7,72.5,56.1,55.1,90.3,70.4,85.6,58.6,63,78.1,86.4,70,50,1.8,10,16,24.7,31.431,19.524,516.336,4.127,4.6,26446.74,4.3,4.631,5887.72648402366,36.602,17387,35,85,1147,60,60,10356,42,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,6,3,11,6,22,17,10,23,18,13,5,25,21,23,28,22,21,25,15,20,21,20,19,10,30,27,20,26,21,22,34,18,22,22,30,24,27,27,19,28,23,23,24,35,16,22,21,20,34,17,17,24,13,13,17,10
Pakistan,Upper,30.3753,69.3451,PAK,South Asia,Lower middle income,72.8,30.5167,212215030,770880,275.289318700706,15400223,67.114,1482.40306306798,6880637,48542,33.5,2.89863366633654,Pakistan,8,0,0,10,26,5,Pakistan,Pakistan,Asia-Pacific,135,32,54.8,48.3,43.2,29.7,80.4,86.8,40.4,54.9,41.3,72.5,64.8,55,40,10.1,30,30,12.5,20.994,200.96,1141.403,5.227,4.7,5679.75,3,3.925,2352,72.134,45898,35,85,985,57,63,13101,46,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,1,1,2,1,2,7,5,1,7,6,1,6,6,4,4,4,1,20,5,2,3,15,17,7,8,25,8,25,11,25,16,16,12,11,20,31,42,32,23,17,19,38,50,21,14,37,23,47,31,24,9,64,0,39,30,36,46
Poland,Upper,51.9194,19.1451,POL,Europe & Central Asia,High income,21.02,52.26,37974750,306190,124.023482151605,1767798,77.7536585365854,15422.4534677396,9277538,123903,29.7,6.5419539809227,Poland,12,0,1,18,37,39,Poland,Poland,Europe,46,25,69.1,63.1,42.8,64.6,74.7,48.8,92.2,62.6,62,82,86.4,80,70,1.8,32,19,33.9,41.2943137048,37.977,1212.925,5.099,4,31938.66,3.7,1.6,11476.249543154,48.364,19739,42,78,962,50,70,8183,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,2,1,2,4,2,0,2,4,9,2,10,14,14,8,15,13,22,30,15,7,27,24,13,18,23,28,18,15,13,20,21,25,28,40,30,11,27,34,28,20,7,13,14,20,18,17,22,21,9,15,11,28,22,22,24,8,10,11,12,14
Japan,Upper,36,138,JPN,East Asia & Pacific,High income,139.77,35.67,126529100,364560,347.073458415624,37468302,84.2109756097561,39289.9584346358,126387527,999594,32.9,10.9359331429005,Japan,13,0,2,13,26,9,Japan,Japan,Asia-Pacific,30,8,73.3,86.6,71.4,80.5,68.3,55.8,62,81.4,78.7,84.4,80,70,60,2.5,40.8,23.9,30.6,38.376061931,126.494,5594.452,0.811,1,44227.16,2.5,0.978,9857.57857181798,237.115,16367,0,120,768,22,98,11564,4,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,4,0,5,1,3,3,0,5,2,0,0,4,2,6,1,1,2,2,2,3,2,0,2,1,5,1,14,0,8,7,1,1,5,0,9,15,20,3,32,12,32,14,0,27,18,47,17,15,12,13,9,19,17,25,19,13,49,20,0,21,13,17,17,9,24,21,19,16,12,19,5,19,0
Austria,Upper,47.5162,14.5501,AUT,Europe & Central Asia,High income,16.3798,48.2201,8840521,82522.998046875,107.127966860564,1900547,81.6439024390244,51499.8853614086,12935505,130260,29.7,10.3966169059277,Austria,41,0,5,27,38,36,Austria,Austria,Europe,29,16,73.3,87.3,73.2,84,51.3,27.2,87.9,73,68.3,81,86.4,90,70,1.8,50,25,41.8,49.2612965556,8.885,463.22,2.713,1.8,52137.43,4.8,2.119,7618.21905357712,74.243,16353,34,86,633,50,70,14882,47,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,2,8,5,7,2,19,9,10,18,22,20,18,12,10,18,18,16,23,30,22,24,18,13,18,16,9,17,21,12,9,18,21,19,12,8,6,6,7,20,11,4,5,7,2,2,6,2,1,5,1,3,2,3,1,2,2,1,0,0,3,1
